Open Time,Open Price,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Close Return
1609300800000,1.1997,1.228,1.152,1.194,1272210.1,1609315199999,1518712.414439,6949,580030.1,693283.1,-0.00574569
1609315200000,1.194,1.1972,1.1305,1.1434,1535670.7,1609329599999,1772875.759756,6215,729735.0,843054.8,-0.04237856
1609329600000,1.1412,1.25,1.1255,1.2466,1748406.6,1609343999999,2098335.407251,7270,884722.1,1061713.3,0.09025713
1609344000000,1.2469,1.26,1.1953,1.207,1281843.6,1609358399999,1564755.29381,6251,655617.8,800766.3,-0.0317664
1609358400000,1.2066,1.223,1.17,1.2134,669185.5,1609372799999,800455.887323,3137,290752.5,347812.2,0.0053024
1609372800000,1.2134,1.2165,1.152,1.1716,634302.6,1609387199999,746539.980365,3610,317645.6,373934.1,-0.03444866
1609387200000,1.1701,1.2061,1.1481,1.176,892220.8,1609401599999,1053406.981627,4407,391906.8,463445.5,0.00375555
1609401600000,1.1749,1.2157,1.15,1.2035,642232.1,1609415999999,757008.784831,3219,310885.3,366515.6,0.02338435
1609416000000,1.2042,1.2237,1.13,1.1548,1028434.6,1609430399999,1196718.939234,6582,490168.1,570638.9,-0.04046531
1609430400000,1.1533,1.182,1.1342,1.1728,397112.7,1609444799999,459141.390467,2417,217774.9,252193.0,0.01558711
1609444800000,1.1726,1.1828,1.1555,1.1699,252236.2,1609459199999,294780.090166,1703,124525.3,145620.1,-0.00247271
1609459200000,1.169,1.43,1.1504,1.338,4076457.6,1609473599999,5314436.442207,17103,2062675.7,2684618.0,0.14368749
1609473600000,1.338,1.3548,1.2941,1.3459,1597083.9,1609487999999,2122937.964044,6783,790788.6,1049188.1,0.00590433
1609488000000,1.3444,1.418,1.3109,1.3939,1340611.6,1609502399999,1846737.358498,6714,738130.6,1017646.9,0.03566387
1609502400000,1.3929,1.3996,1.2903,1.3446,1392267.7,1609516799999,1887873.502502,7095,752613.8,1022024.7,-0.03536839
1609516800000,1.3454,1.3852,1.2604,1.2951,1840574.9,1609531199999,2451198.992015,9778,830844.1,1107315.4,-0.03681392
1609531200000,1.2915,1.3107,1.2781,1.2874,576655.0,1609545599999,748226.801437,3744,321972.2,418125.0,-0.00594549
1609545600000,1.2908,1.3241,1.2306,1.2951,889771.7,1609559999999,1122745.217428,5756,415340.0,524228.1,0.00598105
1609560000000,1.2962,1.3045,1.2722,1.2729,292349.7,1609574399999,376982.285667,1825,112280.6,144904.4,-0.01714153
